Gene expression phytotron,Lacy - Smokies,Lacy - field,Lacy Phyt,Katie - field,Katie - CG,Mike,Andrew,Bernice,Matt,Project,Site,Collection_no,Phytotron_ID (Ap_GXL),Species,Locale,State
,,,,,,,x,,,ANBE,Duke,1,,rudis,Duke Forest,NC
,,,,,,,x,,,ANBE,Duke,2,,rudis,Duke Forest,NC
,,,,,,,x,,,ANBE,Duke,3,,rudis,Duke Forest,NC
,,,,,,,x,,,ANBE,Duke,4,,rudis,Duke Forest,NC
,,,,,,,x,,,ANBE,Duke,5,,rudis,Duke Forest,NC
,,,,,,,x,,,ANBE,Duke,5,,rudis,Duke Forest,NC
,,,,,,,x,,,ANBE,Duke,6,,mariae,Duke Forest,NC
,,,,,,,x,,,ANBE,Duke,7,,,Duke Forest,NC
,,,,,,,x,,,ANBE,Duke,8,,,Duke Forest,NC
,,,,,,,x,,,ANBE,Duke ,9,,lamellidans,Duke Forest,NC
,,,,,,,x,,,ANBE,exit,65,,Veromessor pergandei,,AZ
,,,,,,,x,,,ANBE,Fbragg,1,,floridana,Fort Bragg,NC
,,,,,,,x,,,ANBE,Fbragg,2,,ashmeadi,Fort Bragg,NC
,,,,,,,x,,,ANBE,Fbragg,3,,floridana,Fort Bragg,NC
,,,,,,,x,,,ANBE,Fbragg,4,,floridana,Fort Bragg,NC
,,,,,,,x,,,ANBE,Fbragg,5,,floridana,Fort Bragg,NC
,,,,,,,x,,,ANBE,Formica,,,,,
,,,,,,,x,,x,ANBE,HF,1,,picea,Harvard Forest,MA
,,,,,,,x,,x,ANBE,HF,2,,picea,Harvard Forest,MA
,,,,,,,x,,x,ANBE,HF,3,,picea,Harvard Forest,MA
,,,,,,,x,,x,ANBE,AHW,1,,tennesseensis,Hitchcock Woods,SC
,,,,,,,x,,x,ANBE,AHW,2,,rudis,Hitchcock Woods,SC
,,,,,,,x,,x,ANBE,AHW,3,,rudis,Hitchcock Woods,SC
,,,,,,,x,,x,ANBE,AHW,4,,,Hitchcock Woods,SC
,,,,,,,x,,x,ANBE,AHW,5,,,Hitchcock Woods,SC
,,,,,,,x,,x,ANBE,AHW,7,,fulva,Hitchcock Woods,SC
,,,,,,,x,,,ANBE,KH,1,,floridana,Key Heights,FL
,,,,,,,x,,,ANBE,KH,2,,floridana,Key Heights,FL
,,,,,,,x,,,ANBE,KH,3,,floridana,Key Heights,FL
,,,,,,,x,,,ANBE,KH,4,,ashmeadi,Key Heights,FL
,,,,,,,x,,,ANBE,KH,4,,ashmeadi,Key Heights,FL
,,,,,,,x,,,ANBE,KH,5,,ashmeadi,Key Heights,FL
,,,,,,,x,,,ANBE,KH,6,,,Key Heights,FL
,,,,,,,x,,,ANBE,KH,7,,floridana,Key Heights,FL
,,,,,,,x,,,ANBE,KH,8,,floridana,Key Heights,FL
,,,,,,,x,,x,ANBE,Kite,1,,rudis,Kite,GA
,,,,,,,x,,x,ANBE,Kite,2,,fulva,Kite,GA
,,,,,,,x,,x,ANBE,Kite,3,,,Kite,GA
,,,,,,,x,,x,ANBE,Kite,4,,fulva,Kite,GA
,,,,,,,x,,x,ANBE,Kite,5,,rudis,Kite,GA
,,,,,,,x,,x,ANBE,Kite,8,,fulva,Kite,GA
,,,,,,,x,,x,ANBE,Lex,1,,,Lexington,VA
,,,,,,,x,,x,ANBE,Lex,5,,,Lexington,VA
,,,,,,,x,,x,ANBE,Lex,11,,rudis,Lexington,VA
,,,,,,,x,,x,ANBE,Lex,13,,,Lexington,VA
,,,,,,,x,,x,ANBE,Lex-SHC,1,,fulva,Lexington,VA
,,,,,,,x,,x,ANBE,Lex-SHC,2,,rudis,Lexington,VA
,,,,,,,x,,x,ANBE,Lex-SHC,3,,,Lexington,VA
,,,,,,,x,,x,ANBE,Lex-SHC,4,,rudis,Lexington,VA
,,,,,,,x,,x,ANBE,Lex-SHC,5,,rudis,Lexington,VA
,,,,,,,x,,x,ANBE,Lex-SHC,6,,rudis,Lexington,VA
,,,,,,,x,,x,ANBE,Lex-SHC,7,,rudis,Lexington,VA
,,,,,,,x,,x,ANBE,Lex-SHC,8,,rudis,Lexington,VA
,,,,,,,x,,x,ANBE,Lex-SHC,9,,,Lexington,VA
,,,,,,,x,,x,ANBE,Lex-SHC,9,,A. ??,Lexington,VA
,,,,,,,x,,x,ANBE,Lex-SHC,10,,rudis,Lexington,VA
,,,,,,,x,,,ANBE,LPR,1,,,Longleaf Flatwoods Reserve,FL
,,,,,,,x,,,ANBE,LPR,2,,ashmeadi,Longleaf Flatwoods Reserve,FL
,,,,,,,x,,,ANBE,LPR,4,,ashmeadi,Longleaf Flatwoods Reserve,FL
,,,,,,,x,,,ANBE,MA,,,rudis,Mike's house,OH
,,,,,,,x,,,ANBE,Mic,1,,,Van Atta Woods,MI
,,,,,,,x,,,ANBE,Mic,2,,,Van Atta Woods,MI
,,,,,,,x,,,ANBE,PB,07-23,,Pogonomyrmex barbatus,Welder Wildlife Foundation,TX
,,,,,,,x,,,ANBE,Pb,17-10,,Pogonomyrmex barbatus,Welder Wildlife Foundation,TX
,,,,,,,x,,,ANBE,PB,17-14,,Pogonomyrmex barbatus,Welder Wildlife Foundation,TX
,,,,,,,x,,,ANBE,PMBE,,,,,
,,,,,,,x,,x,ANBE,Pop,1,,picea,PopPop,PA
,,,,,,,x,,x,ANBE,Pop,2,,picea,PopPop,PA
,,,,,,,x,,x,ANBE,Pop,3,,rudis,PopPop,PA
,,,,,,,x,,,ANBE,SAL,13-14,,Veromessor pergandei,Salome Rd.,AZ
,,,,,,,x,,,ANBE,SWSR,45-1,,tennesseensis,SWSR45,FL
,,,,,,,x,,x,ANBE,ted,3,,picea,East Woods,VT
,,,,,,,x,,x,ANBE,ted,4,,picea,East Woods,VT
,,,,,,,x,,x,ANBE,ted,4,,picea,East Woods,VT
,,,,,,,x,,x,ANBE,ted,6,,picea,East Woods,VT
,,,,,,,x,,x,ANBE,Yates,1,,,Yates Mill,NC
,,,,,,,x,,x,ANBE,Yates,2,,rudis,Yates Mill,NC
,,,,,,,x,,x,ANBE,Yates,3,,rudis,Yates Mill,NC
,,,,,,,,,x,Phyt,MagSpr,3,01-A,carolinensis,Magnolia Springs,GA
,,,x,,,,,,x,Phyt,MagSpr,4,01-B,rudis,,
,,,,,,,,,x,Phyt,MagSpr,7,01-C,carolinensis,,
x,,,,,,,,,x,Phyt,HW,1,02-A,rudis,Hitchcock Woods,SC
,,,x,,,,,,x,Phyt,HW,5,02-B,rudis,,
x,,,,,,,,,x,Phyt,HW,7,02-C,rudis,Hitchcock Woods,SC
,,,,,,,,,,Phyt,FMU,4,03-A,,Francis Marion Univ.,SC
x,,,,x,,,,,x,Phyt,UNF,8,04-A,rudis,"Uwharrie National Forest, Troy",NC
x,,,,x,,,,,x,Phyt,UNF,9,04-B,rudis,Uwharrie National Forest,NC
x,,,x,,,,,,x,Phyt,UNF,1,04-C,carolinensis,Troy,NC
,,,,x,,,,,x,Phyt,UNF,2,04-D,,Uwharrie National Forest,NC
,,,,x,,,,,x,Phyt,UNF,3,04-E,,Uwharrie National Forest,NC
,,,,x,,,,,x,Phyt,UNF,6,04-F,,Uwharrie National Forest,NC
x,,,x,,,,,,x,Phyt,GSMNP,4,05-B,picea,Great Smoky Mountains National Park,TN
x,,,x,x,,,,,x,Phyt,GSMNP,5,05-D,picea,Great Smoky Mountains National Park,TN
x,,,,,,,,,,Phyt,DW,2,06-A,rudis,Deans Woods,TN
x,,,,,,,,,,Phyt,DW ,1,06-B,rudis,Deans Woods,TN
x,,,x,,,,,,x,Phyt,BRP,2,07-A,picea,"Blue Ridge Pkwy, Spruce Pine",NC
x,,,x,x,,,,,x,Phyt,BRP,9,07-B,picea,Blue Ridge Parkway,NC
x,,,x,,,,,,x,Phyt,Ijams,6,08-A,rudis,Ijams Nature Center,TN
x,,,x,x,,,,,x,Phyt,IJAMS,1,08-D,rudis,Ijams Nature Center,TN
x,,,x,,,,,,x,Phyt,RC,12,09-A,rudis,"Raleigh Chambers, Duke forest",NC
x,,,x,,,,,,x,Phyt,LVA,12,10-B,rudis,Lynchburg,VA
x,,,x,x,,,,,x,Phyt,LVA,11,10-C,fulva,Lynchburg,VA
,,,,x,,,,,x,Phyt,LVA,7,10-D,,Lynchburg (Black Water Creek park),VA
,,,,x,,,,,x,Phyt,LVA,8,10-E,,Lynchburg (Black Water Creek park),VA
x,,,x,x,,,,,x,Phyt,LVA,9,10-F,rudis,Lynchburg,VA
x,,,x,x,,,,,x,Phyt,WP,9,11-A,rudis,William Penn,PA
x,,,,x,,,,,x,Phyt,WP,11,11-B,rudis,William Penn,PA
x,,,x,,,,,,x,Phyt,WP,3,11-C,fulva,William Penn,PA
x,,,,x,,,,,x,Phyt,WP,6,11-D,rudis,William Penn,PA
x,,,,x,,,,,x,Phyt,NOCK,6,12-A,picea,Nockamixon State Park,PA
x,,,,,,,,,x,Phyt,Nock,8,12-D,rudis,Nockamixon State Park,PA
x,,,x,x,,,,,x,Phyt,HSP,6,13-A,picea,Hickory Run State Park,PA
x,,,x,x,,,,,x,Phyt,HSP,7,13-B,picea,Hickory Run State Park,PA
x,,,x,,,,,,x,Phyt,HSP,9,13-C,picea,Hickory Run State Park,PA
x,,,x,,,,,,x,Phyt,HSP,12,13-D,picea,White Haven,PA
x,,,x,,,,,,x,Phyt,DSF,4,15-A,picea,Greentown,PA
x,,,,x,,,,,x,Phyt,DSF,11,15-B,picea,Delaware State Park,PA
x,,,,,,,,,x,Phyt,DSF,8,15-C,picea,Delaware State Park,PA
x,,,x,,,,,,x,Phyt,DSF,12,15-D,picea,Delaware State Park,NY
x,,,x,x,,,,,x,Phyt,BRM /BRF,4,16-A,picea,Black Rock Forest,NY
x,,,x,x,,,,,x,Phyt,BRM/BRF,8,16-B,picea,Black Rock Forest,NY
x,,,x,,,,,,x,Phyt,Bard,10,17-A,picea,Red Hook,NY
x,,,x,,,,,,x,Phyt,Bard,9,17-B,picea,Red Hook,NY
x,,,,x,,,,,x,Phyt,BARD,3,17-C,picea,Bard College,NY
x,,,,x,,,,,x,Phyt,Notch,1,18-A,fulva,Windsor,MA
x,,,,x,,,,,x,Phyt,Notch,4,18-C,rudis,Windsor,MA
x,,,,,,,,,x,Phyt,Notch,2,18-D,fulva,Windsor,MA
x,,,x,,,,,,x,Phyt,HF,1,19-A,picea,Harvard Forest,MA
x,,,x,x,,,,,x,Phyt,APB,10,20-A,picea,Albany,NY
x,,,x,x,,,,,x,Phyt,APB,3,20-B/C,picea,Albany Pine Bush,NY
x,,,,,,,,,x,Phyt,APB,3b,20-C,picea,Albany Pine Bush,NY
x,,,x,x,,,,,x,Phyt,APB,8,20-D,picea,Albany Pine Bush,NY
x,,,x,x,,,,,x,Phyt,Bear,6,21-A,picea,Allenstown,NH
x,,,x,,,,,,x,Phyt,Bear,5,21-B,picea,Allenstown,NH
x,,,x,,,,,,x,Phyt,Bear,3,21-C,picea,Allenstown,NH
x,,,,,,,,,x,Phyt,SEB,1,22-A,,Sebago Lake State Park,ME
x,,,x,x,,,,,x,Phyt,Seb,8,22-B,picea,Sebago Lake State Park,ME
x,,,x,x,,,,,x,Phyt,SEB,9,22-C,picea,Sebago Lake State Park,ME
x,,,x,,,,,,x,Phyt,MM,1,23-A,picea,Silver Lake,NH
x,,,,,,,,,x,Phyt,MM,2,23-B,picea,Silver Lake,NH
x,,,,,,,,,x,Phyt,MM,4,23-C,picea,Silver Lake,NH
x,,,,,,,,,x,Phyt,EW,9,24-A,picea,East Woods,VT
x,,,,,,,,,x,Phyt,EW,4,24-B,picea,East Woods,VT
x,,,x,,,,,,x,Phyt,RW,3,25-A,picea,"Rugar Woods, SUNY Plattsburgh",NY
x,,,,,,,,,x,Phyt,RW,1,25-C,,"Rugar Woods, SUNY Plattsburgh",NY
x,,,x,x,,,,,x,Phyt,RW,5,25-D,picea,"Rugar Woods, Plattsburgh",NY
x,,,x,x,,,,,x,Phyt,MB,1,26-A,picea,"Molly Bog, Stowe",VT
x,,,,,,,,,x,Phyt,MB,4,26-C,picea,"Molly Bog, Stowe",VT
x,,,x,x,,,,,x,Phyt,MB,2,26-D,picea,"Molly Bog, Stowe",VT
x,,,x,x,,,,,x,Phyt,MB,6,26-E,picea,Molly Bog,VT
x,,,x,x,,,,,x,Phyt,KBH,4,27-A,picea,Kennebec Highlands,ME
x,,,x,,,,,,x,Phyt,KBH,1,27-B,picea,,
x,,,,,,,,,x,Phyt,Brad,1,28-A,picea,Bradford,ME
x,,,x,,,,,,x,Phyt,Brad,6,28-B,picea,Bradley Public Lands,ME
,,,,,,,,,x,Pop genomics,APB,1,,,Albany Pine Bush,NY
,,,,x,,,,,x,Pop genomics,APB,4,,,Albany Pine Bush,NY
,,,,,,,,,x,Pop genomics,APB,5,,,Albany Pine Bush,NY
,,,,x,,,,,x,Pop genomics,APB,6,,,Albany Pine Bush,NY
,,,,x,,,,,x,Pop genomics,APB,7,,,Albany Pine Bush,NY
,,,,,,,,,x,Pop genomics,APB,9,,,Albany Pine Bush,NY
,,,,,,,,,x,Pop genomics,APB,11,,,Albany Pine Bush,NY
,,,,,,,,,x,Pop genomics,APB,13,,,Albany Pine Bush,NY
,,,,,,,,,x,Pop genomics,BARD,1,,,Bard College,NY
,,,,,,,,,x,Pop genomics,BARD,4,,,Bard College,NY
,,,,x,,,,,x,Pop genomics,BARD,5,,fulva,Bard College,NY
,,,,,,,,,x,Pop genomics,BARD,6,,,Bard College,NY
,,,,,,,,,x,Pop genomics,BARD,7,,,Bard College,NY
,,,,,,,,,x,Pop genomics,BARD,11,,,Bard College,NY
,,,,,,,,,x,Pop genomics,BARD,12,,,Bard College,NY
,,,,,,,,,x,Pop genomics,Bear,1,,,Allenstown,NH
,,,,x,,,,,x,Pop genomics,Bear,4,,,Allenstown,NH
,,,,x,,,,,x,Pop genomics,Bear,7,,,Allenstown,NH
,,,,,,,,,x,Pop genomics,Bear,8,,,Allenstown,NH
,,,,,,,,,x,Pop genomics,Bear,10,,,Allenstown,NH
,,,,,,,,,,ANBE,BK,6-1,,Messor pergandei,Bakersfield,CA
,,,,,,,,,x,Pop genomics,Brad,2,,,Bradley Public Lands,ME
,,,,x,,,,,x,Pop genomics,Brad,3,,,Bradley Public Lands,ME
,,,,x,,,,,x,Pop genomics,Brad,4,,,Bradley Public Lands,ME
,,,,x,,,,,x,Pop genomics,Brad,5,,,Bradley Public Lands,ME
,,,,,,,,,x,Pop genomics,BRM /BRF,1,,,Black Rock Forest,NY
,,,,x,,,,,x,Pop genomics,BRM /BRF,2,,,Black Rock Forest,NY
,,,,x,,,,,x,Pop genomics,BRM /BRF,3,,,Black Rock Forest,NY
,,,,x,,,,,x,Pop genomics,BRM /BRF,5,,,Black Rock Forest,NY
,,,,x,,,,,x,Pop genomics,BRM /BRF,6,,,Black Rock Forest,NY
,,,,x,,,,,x,Pop genomics,BRM /BRF,7,,,Black Rock Forest,NY
,,,,,,,,,x,Pop genomics,BRM /BRF,9,,,Black Rock Forest,NY
,,,,x,,,,,x,Pop genomics,BRM /BRF,10,,,Black Rock Forest,NY
,,,,,,,,,x,Pop genomics,BRM /BRF,12,,,Black Rock Forest,NY
,,,,,,,,,,Pop genomics,BRM /BRF,4 (second sample),,,Black Rock Forest,NY
,,,,,,,,,x,Pop genomics,BRM/BRF,11,,,Black Rock Forest,NY
,,,,x,,,,,x,Pop genomics,BRP,1,,picea,"Blue Ridge Parkway, high elevation",NC
,,,,x,,,,,x,Pop genomics,BRP,3,,picea,"Blue Ridge Parkway, high elevation",NC
,,,,x,,,,,x,Pop genomics,BRP,4,,,"Blue Ridge Parkway, high elevation",NC
,,,,x,,,,,x,Pop genomics,BRP,5,,picea,"Blue Ridge Parkway, high elevation",NC
,,,,x,,,,,x,Pop genomics,BRP,6,,,"Blue Ridge Parkway, high elevation",NC
,,,,x,,,,,x,Pop genomics,BRP,7,,picea,"Blue Ridge Parkway, high elevation",NC
,,,,x,,,,,x,Pop genomics,BRP,8,,,"Blue Ridge Parkway, high elevation",NC
,,,,x,,,,,x,Pop genomics,BRP,10,,,"Blue Ridge Parkway, high elevation",NC
,,x,,,,,,,,Lacy_field,CC,,,,38.195937N 81.477616W,WV
,,,,,x,,,,,CG,CG-CW ,7,,,,
,,,,,x,,,,,CG,CG-NSP,0,,,Neshamany State Park,PA
,,,,,x,,,,,CG,CG-NSP,1,,,Neshamany State Park,PA
,,,,,x,,,,,CG,CG-NSP,2,,,Neshamany State Park,PA
,,,,,x,,,,,CG,CG-NSP,3,,,Neshamany State Park,PA
,,,,,x,,,,,CG,CG-NSP,4,,,Neshamany State Park,PA
,,,,,x,,,,,CG,CG-NSP,6,,,Neshamany State Park,PA
,,,,,x,,,,,CG,CG-NSP,7,,,Neshamany State Park,PA
,,,,,x,,,,,CG,CG-NSP,8,,,Neshamany State Park,PA
,,,,,x,,,,,CG,CG-NSP,10,,,Neshamany State Park,PA
,,,,,x,,,,,CG,CG-NSP,11,,,Neshamany State Park,PA
,,,,,x,,,,,CG,CG-NSP,12,,,Neshamany State Park,PA
,,,,,x,,,,,CG,CG-NSP,14,,,Neshamany State Park,PA
,,,,,x,,,,,CG,CG-NSP,15,,,Neshamany State Park,PA
,,,,,x,,,,,CG,CG-RW,1,,,"Rugar Woods, SUNY Plattsburgh",NY
,,,,,x,,,,,CG,CG-RW,4,,,"Rugar Woods, SUNY Plattsburgh",NY
,,,,,x,,,,,CG,CG-RW,6,,,"Rugar Woods, SUNY Plattsburgh",NY
,,,,,x,,,,,CG,CG-RW,7,,,"Rugar Woods, SUNY Plattsburgh",NY
,,,,,x,,,,,CG,CG-RW,8,,,"Rugar Woods, SUNY Plattsburgh",NY
,,,,,x,,,,,CG,CG-RW,9,,,"Rugar Woods, SUNY Plattsburgh",NY
,,,,,x,,,,,CG,CG-RW,10,,,"Rugar Woods, SUNY Plattsburgh",NY
,,,,,x,,,,,CG,CG-RW,11,,,"Rugar Woods, SUNY Plattsburgh",NY
,,,,,x,,,,,CG,CG-RW,12,,,"Rugar Woods, SUNY Plattsburgh",NY
,,,,,x,,,,,CG,CG-RW,13,,,"Rugar Woods, SUNY Plattsburgh",NY
,,,,,x,,,,,CG,CG-YM,4,,,Yates Mill,NC
,,,,,x,,,,,CG,CG-YM,5,,,Yates Mill,NC
,,,,,x,,,,,CG,CG-YM,6,,,Yates Mill,NC
,,,,,x,,,,,CG,CG-YM,7,,,Yates Mill,NC
,,,,,x,,,,,CG,CG-YM,8,,,Yates Mill,NC
,,,,,x,,,,,CG,CG-YM,9,,,Yates Mill,NC
,,,,,x,,,,,CG,CG-YM,10,,,Yates Mill,NC
,,,,,x,,,,,CG,CG-YM,11,,,Yates Mill,NC
,,,,,x,,,,,CG,CG-YM,12,,,Yates Mill,NC
,,,,,x,,,,,CG,CG-YM,13,,,Yates Mill,NC
,,x,,,,,,,,Lacy_field,CHSP,,,,35.184817N 83.032667W,SC
,,x,,,,,,,,Lacy_field,Colum,,,,33.738209N 81.097873W,SC
,,,,,,,,,x,Pop genomics,DSF,1,,,Delaware State Park,PA
,,,,,,,,,x,Pop genomics,DSF,2,,,Delaware State Park,PA
,,,,,,,,,x,Pop genomics,DSF,3,,,Delaware State Park,PA
,,,,,,,,,x,Pop genomics,DSF,7,,,Delaware State Park,PA
,,,,,,,,,x,Pop genomics,DSF,9,,,Delaware State Park,PA
,,,,,,,,,x,Pop genomics,DSF,10,,,Delaware State Park,PA
,,x,,,,,,,,Lacy_field,ENSF,,,,39.582783N 75.913217W,NJ
,,x,,,,,,,,Lacy_field,FIELD,HK,,,Hitchcock,SC
,,x,,,,,,,,Lacy_field,FIELD,OF,,,Okeefenokee,FL
,,,,,,,,,,Pop genomics,FMU,6,,,,
,,x,,,,,,,,Lacy_field,FS,,,,31.974933N 81.36025W,GA
,,x,,,,,,,,Lacy_field,GF-GSMNP,,,,35.67894N 83.4641W,TN
,,,,,,,,,x,Pop genomics,GSMNP,1,,,Great Smoky Mountains National Park (mid-elevation),TN
,,,,,,,,,x,Pop genomics,GSMNP,2,,,Great Smoky Mountains National Park (mid-elevation),TN
,,,,x,,,,,x,Pop genomics,GSMNP,3,,,Great Smoky Mountains National Park (mid-elevation),TN
,,,,,,,,,x,Pop genomics,GSMNP,7,,,Great Smoky Mountains National Park (mid-elevation),TN
,,,,,,,,,x,Lacy_field,GSMNP,,,,35.67950N 83.54955W,TN
,,,,,,,,,x,Pop genomics,HF,17,,,Harvard Forest,MA
,,,,,,,,,x,Pop genomics,HF,25,,,Harvard Forest,MA
,,,,,,,,,x,Pop genomics,HF,28,,,Harvard Forest,MA
,,,,,,,,,x,Pop genomics,HF,37,,,Harvard Forest,MA
,,,,x,,,,,x,Pop genomics,HSP,1,,,Hickory Run State Park,PA
,,,,x,,,,,x,Pop genomics,HSP,2,,,Hickory Run State Park,PA
,,,,,,,,,x,Pop genomics,HSP,3,,,Hickory Run State Park,PA
,,,,x,,,,,x,Pop genomics,HSP,4,,,Hickory Run State Park,PA
,,,,x,,,,,x,Pop genomics,HSP,5,,picea,Hickory Run State Park,PA
